,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Makecodif,Modelcodif,Vehicle Classcodif
0,ACURA,ILX,COMPACT,2.0,4,9.9,6.7,8.5,0,1057,0
1,ACURA,ILX,COMPACT,2.4,4,11.2,7.7,9.6,0,1057,0
2,ACURA,ILX HYBRID,COMPACT,1.5,4,6.0,5.8,5.9,0,1058,0
3,ACURA,MDX 4WD,SUV - SMALL,3.5,6,12.7,9.1,11.1,0,1233,11
4,ACURA,RDX AWD,SUV - SMALL,3.5,6,12.1,8.7,10.6,0,1499,11
5,ACURA,RLX,MID-SIZE,3.5,6,11.9,7.7,10.0,0,1510,2
6,ACURA,TL,MID-SIZE,3.5,6,11.8,8.1,10.1,0,1778,2
7,ACURA,TL AWD,MID-SIZE,3.7,6,12.8,9.0,11.1,0,1779,2
8,ACURA,TL AWD,MID-SIZE,3.7,6,13.4,9.5,11.6,0,1779,2
9,ACURA,TSX,COMPACT,2.4,4,10.6,7.5,9.2,0,1803,0
10,ACURA,TSX,COMPACT,2.4,4,11.2,8.1,9.8,0,1803,0
11,ACURA,TSX,COMPACT,3.5,6,12.1,8.3,10.4,0,1803,0
12,ALFA ROMEO,4C,TWO-SEATER,1.8,4,9.7,6.9,8.4,1,113,13
13,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,18.0,12.6,15.6,2,708,3
14,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,18.0,12.6,15.6,2,1484,10
15,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,17.4,11.3,14.7,2,1866,13
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,18.1,12.2,15.4,2,1866,13
17,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,17.4,11.3,14.7,2,1867,13
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,18.1,12.2,15.4,2,1867,13
19,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,18.0,12.6,15.6,2,1872,3
20,AUDI,A4,COMPACT,2.0,4,9.9,7.4,8.8,3,234,0
21,AUDI,A4 QUATTRO,COMPACT,2.0,4,11.5,8.1,10.0,3,236,0
22,AUDI,A4 QUATTRO,COMPACT,2.0,4,10.8,7.5,9.3,3,236,0
23,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,11.5,8.1,10.0,3,240,10
24,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,11.5,8.1,10.0,3,242,10
25,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,10.8,7.5,9.3,3,242,10
26,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,12.0,8.1,10.2,3,246,2
27,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,12.8,8.6,10.9,3,246,2
28,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,9.8,6.2,8.1,3,247,2
29,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,13.3,8.5,11.2,3,250,2
30,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,9.8,6.2,8.1,3,251,2
31,AUDI,A8,MID-SIZE,3.0,6,13.1,8.8,11.2,3,253,2
32,AUDI,A8,MID-SIZE,4.0,8,13.7,8.3,11.3,3,253,2
33,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,9.8,6.5,8.4,3,256,2
34,AUDI,A8L,FULL-SIZE,3.0,6,13.1,8.8,11.2,3,257,1
35,AUDI,A8L,FULL-SIZE,4.0,8,14.7,9.7,12.5,3,257,1
36,AUDI,A8L,FULL-SIZE,6.3,12,18.7,11.5,15.5,3,257,1
37,AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,9.8,6.5,8.4,3,259,1
38,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,11.8,8.8,10.5,3,272,9
39,AUDI,Q5,SUV - SMALL,2.0,4,12.0,8.5,10.4,3,1409,11
40,AUDI,Q5,SUV - SMALL,3.0,6,12.9,9.2,11.2,3,1409,11
41,AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,10.2,7.8,9.0,3,1414,11
